epoch_s	power_w	temp_c	util_pct	gfx_clock_mhz	throttle	vram_mib	mem_available_kb	swap_total_kb	swap_free_kb
1789670427	348.79	53	99	1710	0x0000000000000004	21196	51056820	8388604	6481984
1789670429	348.77	53	99	1710	0x0000000000000004	21196	51065976	8388604	6481984
1789670431	348.59	53	99	1710	0x0000000000000004	21196	51110440	8388604	6481984
1789670433	348.87	53	97	1725	0x0000000000000004	21196	50663600	8388604	6481984
1789670435	348.21	53	97	1725	0x0000000000000004	21196	50577428	8388604	5963600
1789670437	348.65	53	99	1695	0x0000000000000004	21196	50981052	8388604	6481984
1789670439	348.46	53	99	1710	0x0000000000000004	21196	51013808	8388604	6481984
1789670441	348.64	53	99	1710	0x0000000000000004	21196	51078240	8388604	6481984
1789670443	347.11	53	99	1695	0x0000000000000004	21196	51093336	8388604	6481984
1789670445	349.11	53	99	1710	0x0000000000000004	21196	51103884	8388604	6481984
1789670447	349.08	53	99	1695	0x0000000000000004	21196	51098560	8388604	6481984
1789670450	348.11	53	99	1710	0x0000000000000004	21196	51122368	8388604	6481984
1789670452	348.79	53	99	1710	0x0000000000000004	21196	51157364	8388604	6481984
1789670454	348.72	53	99	1710	0x0000000000000004	21196	51150992	8388604	6481984
1789670456	347.30	53	99	1710	0x0000000000000004	21196	51161120	8388604	6481984
1789670458	348.61	53	99	1710	0x0000000000000004	21196	51143868	8388604	6481984
1789670460	346.30	53	98	1800	0x0000000000000004	21196	51120144	8388604	6481984
1789670462	346.82	53	98	1770	0x0000000000000004	21196	50979572	8388604	6481984
1789670464	348.39	53	96	1725	0x0000000000000004	21196	50515792	8388604	6137724
1789670466	348.35	53	99	1710	0x0000000000000004	21196	51000452	8388604	6481984
1789670468	348.43	53	98	1710	0x0000000000000004	21196	51043876	8388604	6481988
1789670470	348.73	53	99	1710	0x0000000000000004	21196	51085140	8388604	6481988
1789670472	348.52	53	98	1695	0x0000000000000004	21196	51177368	8388604	6481988
1789670474	349.19	53	99	1710	0x0000000000000004	21196	51173080	8388604	6481988
1789670476	348.43	53	99	1710	0x0000000000000004	21196	51170740	8388604	6481988
1789670478	349.18	53	99	1710	0x0000000000000004	21196	51165180	8388604	6481988
1789670480	348.69	53	99	1695	0x0000000000000004	21196	51172936	8388604	6481988
1789670482	348.50	53	98	1710	0x0000000000000004	21196	51016652	8388604	6481988
1789670484	348.64	53	99	1710	0x0000000000000004	21196	50990980	8388604	6481988
1789670486	348.62	53	99	1710	0x0000000000000004	21196	50996080	8388604	6481988
1789670488	348.22	53	98	1695	0x0000000000000004	21196	51016472	8388604	6481988
1789670490	348.05	53	99	1695	0x0000000000000004	21196	51006128	8388604	6481988
1789670492	347.45	53	98	1725	0x0000000000000004	21196	50837064	8388604	6481988
1789670494	348.65	53	99	1710	0x0000000000000004	21196	50831284	8388604	6481988
1789670496	347.95	53	99	1710	0x0000000000000004	21196	50839508	8388604	6481988
1789670498	348.27	53	99	1710	0x0000000000000004	21196	50854852	8388604	6481988
1789670500	348.49	53	98	1725	0x0000000000000004	21196	50854616	8388604	6481988
1789670502	348.23	53	98	1710	0x0000000000000004	21196	50856516	8388604	6481988
1789670504	348.43	53	98	1725	0x0000000000000004	21196	50812008	8388604	6481988
1789670506	349.50	53	99	1710	0x0000000000000004	21196	50682772	8388604	6481988
1789670508	347.68	53	99	1710	0x0000000000000004	21196	50695220	8388604	6481988
1789670510	348.42	53	98	1710	0x0000000000000004	21196	50690920	8388604	6481988
1789670512	348.68	53	99	1710	0x0000000000000004	21196	50672564	8388604	6481988
1789670514	348.06	53	99	1710	0x0000000000000004	21196	50691668	8388604	6481988
1789670516	348.33	53	97	1710	0x0000000000000004	21196	50672908	8388604	6481988
1789670518	348.47	54	97	1695	0x0000000000000004	21196	50042784	8388604	6275556
1789670520	348.32	53	99	1710	0x0000000000000004	21196	50415736	8388604	6481984
1789670522	348.55	53	99	1710	0x0000000000000004	21196	50411848	8388604	6481984
1789670524	348.80	53	99	1710	0x0000000000000004	21196	50418072	8388604	6481984
1789670526	348.66	53	99	1710	0x0000000000000004	21196	50447068	8388604	6481984
1789670528	347.15	54	99	1710	0x0000000000000004	21196	50475644	8388604	6481984
1789670530	348.70	53	99	1710	0x0000000000000004	21196	50495912	8388604	6481984
1789670532	348.36	53	99	1695	0x0000000000000004	21196	50525640	8388604	6481984
1789670534	348.98	54	99	1695	0x0000000000000004	21196	50521808	8388604	6481984
1789670537	348.59	54	99	1695	0x0000000000000004	21196	50522152	8388604	6481984
1789670539	346.81	54	99	1710	0x0000000000000004	21196	50538192	8388604	6481984
1789670541	349.02	54	95	1710	0x0000000000000004	21196	50534600	8388604	6481984
1789670543	348.77	54	98	1710	0x0000000000000004	21196	50582948	8388604	6481984
1789670545	349.12	54	99	1710	0x0000000000000004	21196	50588596	8388604	6481984
1789670547	348.17	54	99	1710	0x0000000000000004	21196	50627096	8388604	6481984
1789670549	346.66	53	98	1785	0x0000000000000004	21196	50613996	8388604	6481984
1789670551	347.98	54	99	1695	0x0000000000000004	21196	50598616	8388604	6481984
1789670553	348.68	54	98	1695	0x0000000000000004	21196	50579788	8388604	6481984
1789670555	347.23	54	99	1710	0x0000000000000004	21196	50593968	8388604	6481984
1789670557	349.05	54	99	1710	0x0000000000000004	21196	50616140	8388604	6481984
1789670559	348.70	54	99	1710	0x0000000000000004	21196	50624568	8388604	6481984
1789670561	348.92	54	99	1710	0x0000000000000004	21196	50611908	8388604	6481984
1789670563	348.37	54	99	1710	0x0000000000000004	21196	50574440	8388604	6481984
1789670565	348.55	54	99	1710	0x0000000000000004	21196	50565816	8388604	6481984
1789670567	348.92	54	99	1710	0x0000000000000004	21196	50598920	8388604	6481984
1789670569	348.35	54	99	1710	0x0000000000000004	21196	50593288	8388604	6481984
1789670571	348.57	54	99	1695	0x0000000000000004	21196	50602668	8388604	6481984
1789670573	348.48	54	99	1695	0x0000000000000004	21196	50623400	8388604	6481984
1789670575	348.18	54	99	1710	0x0000000000000004	21196	50621576	8388604	6481984
1789670577	348.73	54	99	1710	0x0000000000000004	21196	50582628	8388604	6481984
1789670579	348.68	54	99	1695	0x0000000000000004	21196	50587696	8388604	6481984
1789670581	348.83	54	98	1710	0x0000000000000004	21196	50133116	8388604	6481984
1789670583	348.83	54	95	1710	0x0000000000000004	21196	49909792	8388604	5983224
1789670585	348.58	54	98	1710	0x0000000000000004	21196	50344092	8388604	6481984
1789670587	348.32	54	99	1710	0x0000000000000004	21196	50357252	8388604	6481984
1789670589	348.86	54	98	1710	0x0000000000000004	21196	50393148	8388604	6481984
1789670591	348.73	54	99	1710	0x0000000000000004	21196	50412320	8388604	6481984
1789670593	348.69	54	99	1710	0x0000000000000004	21196	50393328	8388604	6481984
1789670595	348.82	54	99	1710	0x0000000000000004	21196	50423428	8388604	6481984
1789670597	348.76	54	99	1710	0x0000000000000004	21196	50446732	8388604	6481984
1789670599	348.34	54	99	1710	0x0000000000000004	21196	50450248	8388604	6481984
1789670601	348.53	54	99	1710	0x0000000000000004	21196	50430228	8388604	6481984
1789670603	348.24	54	95	1695	0x0000000000000004	21196	50456168	8388604	6481984
1789670605	348.80	54	99	1710	0x0000000000000004	21196	50443956	8388604	6481984
