epoch_s	power_w	temp_c	util_pct	gfx_clock_mhz	throttle	vram_mib	mem_available_kb	swap_total_kb	swap_free_kb
1789560599	338.92	64	100	1875	0x0000000000000004	23292	44165724	8388604	8378472
1789560601	338.72	65	100	1875	0x0000000000000004	23292	44406056	8388604	8378472
1789560603	334.71	65	100	1575	0x0000000000000004	23292	44410684	8388604	8378472
1789560605	340.64	65	100	1725	0x0000000000000004	23292	43833852	8388604	8207632
1789560607	338.99	64	100	1875	0x0000000000000004	23292	44267332	8388604	8378472
1789560609	338.57	65	100	1875	0x0000000000000004	23292	44250172	8388604	8378472
1789560611	337.89	65	100	1875	0x0000000000000004	23292	44234352	8388604	8378472
1789560613	335.64	65	100	1590	0x0000000000000004	23292	44055796	8388604	8378472
1789560615	342.20	65	100	1590	0x0000000000000004	23292	44101856	8388604	8378472
1789560617	340.01	64	100	1845	0x0000000000000004	23292	44130004	8388604	8378472
1789560619	337.90	64	100	1875	0x0000000000000004	23292	44121492	8388604	8378472
1789560621	332.64	64	100	1875	0x0000000000000004	23292	43986952	8388604	8378472
1789560623	338.88	64	100	1875	0x0000000000000004	23292	43986900	8388604	8378472
1789560625	335.70	64	100	1875	0x0000000000000004	23292	44019512	8388604	8378472
1789560627	335.58	65	100	1875	0x0000000000000004	23292	44092428	8388604	8378472
1789560629	334.04	65	100	1875	0x0000000000000004	23292	44129280	8388604	8378472
1789560631	335.69	65	100	1905	0x0000000000000004	23292	44180340	8388604	8378472
1789560633	343.32	65	100	1590	0x0000000000000004	23292	44059944	8388604	8378472
1789560635	343.41	65	100	1590	0x0000000000000004	23292	44252844	8388604	8378472
1789560637	339.83	65	100	1590	0x0000000000000004	23292	44265092	8388604	8378472
1789560639	340.61	66	100	1575	0x0000000000000004	23292	44177280	8388604	8378472
1789560641	344.41	65	100	1590	0x0000000000000004	23292	44334864	8388604	8378472
1789560643	344.15	65	100	1590	0x0000000000000004	23292	44318500	8388604	8378472
1789560645	344.66	65	100	1575	0x0000000000000004	23292	44293220	8388604	8378472
1789560647	339.12	66	100	1590	0x0000000000000004	23292	44230892	8388604	8378472
1789560649	333.84	65	100	1605	0x0000000000000004	23292	44230740	8388604	8378472
